region_code,region_lat_center,region_lon_center,event_count,mag_mean,mag_max,depth_mean,sig_mean,tsunami_rate,event_share
G026_100,-23.75,71.25,19,4.647368421052631,4.9,10.0,332.8421052631579,0.0,6.3491830105219325e-06
G048_086,31.25,36.25,19,3.7315789473684213,5.3,10.668421052631578,245.31578947368422,0.0,6.3491830105219325e-06
G012_063,-58.75,-21.25,19,4.905263157894737,7.0,18.18421052631579,375.4736842105263,0.0,6.3491830105219325e-06
G054_105,46.25,83.75,19,4.131578947368421,5.3,20.491052631578945,280.2631578947368,0.0,6.3491830105219325e-06
G050_022,36.25,-123.75,19,2.09,3.37,7.249578947368421,71.73684210526316,0.0,6.3491830105219325e-06
G041_030,13.75,-103.75,19,4.4,5.5,11.75736842105263,300.7894736842105,0.0,6.3491830105219325e-06
G053_088,43.75,41.25,19,4.2368421052631575,5.1,11.497894736842106,279.1578947368421,0.0,6.3491830105219325e-06
G025_029,-26.25,-106.25,19,4.647368421052631,5.2,10.0,334.0,0.0,6.3491830105219325e-06
G047_097,28.75,63.75,19,4.705263157894737,7.2,51.939473684210526,383.0,0.0,6.3491830105219325e-06
G010_138,-63.75,166.25,19,4.936842105263158,5.5,10.542105263157895,377.57894736842104,0.0,6.3491830105219325e-06
G023_046,-31.25,-63.75,19,4.057894736842105,4.7,28.221684210526316,259.8421052631579,0.0,6.3491830105219325e-06
G017_112,-46.25,101.25,19,5.021052631578947,5.8,10.528421052631579,391.6842105263158,0.0,6.3491830105219325e-06
G029_046,-16.25,-63.75,19,4.373684210526315,4.8,210.60973684210526,295.1578947368421,0.0,6.3491830105219325e-06
G062_077,66.25,13.75,19,2.626315789473684,4.6,4.278947368421052,115.94736842105263,0.0,6.3491830105219325e-06
G010_134,-63.75,156.25,19,5.2631578947368425,6.2,10.876315789473685,431.36842105263156,0.0,6.3491830105219325e-06
G010_143,-63.75,178.75,19,4.773684210526316,5.5,10.436842105263159,352.2105263157895,0.0,6.3491830105219325e-06
G036_064,1.25,-18.75,19,4.163157894736842,5.1,10.0,298.94736842105266,0.0,6.3491830105219325e-06
