year,month,event_count,mag_mean
2013,12,9015,1.6799889073765946
2014,1,11026,1.6387638309450387
2014,2,10066,1.5187750844426784
2014,3,10323,1.7402276470018405
2014,4,10914,1.8418334249587687
2014,5,10133,1.701702358630218
2014,6,11540,1.8300355285961871
2014,7,12450,1.658501204819277
2014,8,10741,1.7195829066194954
2014,9,11881,1.5423634374210924
2014,10,10378,1.7368336866448257
2014,11,11353,1.7634369770104819
2014,12,8978,1.790598128759189
2015,1,903,0.22963455149501663
2015,2,1038,0.2224373795761079
2015,3,1046,0.2273996175908222
2015,4,1003,0.233678963110668
2015,5,991,0.2312108980827447
2015,6,712,0.23389044943820225
2015,7,706,0.22773371104815865
2015,8,652,0.23516871165644174
2015,9,631,0.23072900158478607
2015,10,559,0.23604651162790696
2015,11,612,0.23531045751633986
2015,12,563,0.24699822380106573
2016,1,514,0.21472762645914398
2016,2,670,0.19140298507462689
2016,3,798,0.19885964912280701
2016,4,667,0.1970914542728636
2016,5,636,0.20899371069182393
2016,6,741,0.21742240215924427
2016,7,507,0.2134319526627219
2016,8,665,0.20180451127819551
2016,9,607,0.1984514003294893
2016,10,539,0.20860853432282003
2016,11,484,0.2103305785123967
2016,12,673,0.21482912332838042
2017,1,11189,1.5804057556528734
2017,2,7973,1.629040511727079
2017,3,8925,1.6729747899159664
2017,4,10374,1.6476759205706575
2017,5,13323,1.7767777527583877
2017,6,11109,1.526330002700513
2017,7,12763,1.5138776149808038
2017,8,11837,1.4793030328630563
2017,9,11235,1.7387654650645303
2017,10,9761,1.5944001639176315
2017,11,9671,1.6913504291179815
2017,12,9020,1.616350332594235
2018,1,11038,1.7909585069759013
2018,2,10330,1.7573852855759924
2018,3,10759,1.6808569569662608
2018,4,10135,1.6676142081894425
2018,5,14880,1.7534361559139786
2018,6,25649,2.025900424967835
2018,7,29911,2.0353488683093177
2018,8,16982,1.8173195147803558
2018,9,12654,1.6886612928718192
2018,10,11290,1.7659663418954825
2018,11,10375,1.7112954216867469
2018,12,15983,1.752251767502972
2019,1,1066,0.3229831144465291
2019,2,780,0.3431538461538462
2019,3,1339,0.34330843913368186
2019,4,1348,0.3422181008902077
2019,5,1239,0.32793381759483453
2019,6,1386,0.3174098124098124
2019,7,1776,0.3694932432432433
2019,8,2107,0.3590745135263408
2019,9,1872,0.34184294871794874
2019,10,1533,0.3349771689497717
2019,11,1189,0.3270395290159798
2019,12,1217,0.3246179129005752
2020,1,16699,1.8818060961734235
2020,2,11550,1.6858008658008659
2020,3,14431,1.5203610283417643
2020,4,16238,1.4784437738637763
2020,5,19451,1.629308518842219
2020,6,20076,1.488209304674238
2020,7,18265,1.521857651326581
2020,8,15560,1.5368216580854754
2020,9,13294,1.5445411464179328
2020,10,15618,1.7113554872570111
